"Original Name","Normalized Name"
"Muttukkadu Boat Yard",
"Mylai Koot Road",
"Mylapore",
"N4 Police Station",
"Naduvankarai",
"Naduveerapattu",
"Nagalkeni",
"Nallur",
"Nallur Pudu Nagar",
"Nandambakkam",
"Nandambakkam Kalaignar Na",
"Nandambakkam Village",
"Nanganallur",
"Nanmabgalam Rd. Jn.",
"Napalayam",
"Narayanapuram",
"Nasic Nagar",
"Nathambedu Colony",
"Nathambedu Road Jn.",
"Nathamuni Talkies",
"Nathathanallur",
"National High School",
"Nature Care Hospital",
"Navalur",
"Nazarath",
"Nazarathpet",
"Nedugundram",
"Neelankarai",
"Nehru Nagar",
"Neithavoyal",
"Nellikuppam",
"Nemam",
"Nemilicheri",
"Nerkundram",
"New Erumai Vetti Palayam",
"New Nagar",
"New Road",
"N.G.O.Colony",
"Nookampalayam Village",
"Noothancheri",
"Noothancheri Cross Rd.",
"N.S.K Nagar",
"Nucleus Company",
"Nungambakkam R.S",
"Odeon Mani",
"Oil Mill",
"Old Erumai Vetti Palayam",
"Old&New; Erumai Vetti Pala",
"Oonamancheri",
"Oorapakkam School",
"Oothukadu Cross Road",
"Oragadam",
"Oragadam Koot Road",
"Oragadam O.T.",
"Orakkadu",
"Ottiambakkam",
"P1.Police Station",
"P1 P.S",
"Padappai",
"Padi Kuppam",
"Padiyanallur",
"Padurmedu",
"Pagalmedu",
"Pakkam",
"Pakkam Village",
"Palakka Company",
"Palavakkam",
"Palavakkam Cross Road",
"Palavasthic Chemicals",
"Palavedu",
"Pallavan Nagar",
"Pallavaram",
"Pallavaram Gate",
"Pammadukulam",
"Pammadukulam Colony",
"Pammadu Kulam Rd.Jn.",
"Pammal",
"Pammal Sankar Nagar",
"Panaiyur",
"Panapakkam",
"Panapakkamedu",
"Panchalai",
"Pandeswaram",
"Pandithamedu",
"Pandur",
"Pandy Kavanoor Jn.",
"Panjetti",
"Panrutti",
"Pappanchatram",
"Paraniputhur",
"Parivakkam",
"Parrys",
"Paruthipattu Rd. Jn.",
"Pattabiram",
